emotion,clean_text
sadness, old age no hope for the rest of us destined to become deatheaters by  nightmare
sadness, if i wanted green potatoes a bottle with the tag still on plus soaking wet items delivered  im winning todaysadly i didnt
optimism,everybodys worried about stopping terrorism well theres a really easy way stop participating in it   noam chomsky
sadness,wow almost all the tmobile stores in san diego are out of note replacements sadness i need to get mine replaced
sadness,i am worried that she felt safe unhappy
anger,ahs every  minutes ive been saying nope nope id be gone by now move or gtfo so thank you for the
anger,nothing worse than an uber driver that cant drive awful
anger,leave it on there rulenimber  of carpet cleaning furious worsethananatomicbomb accidentlyspillbeeronthecarpet
joy,said it before and ill say it now america is really fortunate that black people only want equality and not revenge
anger, u know ion play that shit bout my weary brother
anger,  cmode grimrail made me want to eat angry bees
joy,happy birthday  cheer cheerchick jeep jeepgirl idriveajeep jeepjeep cheer
anger, i assure you there is no laughter but increasing anger at the costs and arrogance of westminster
anger,why are people even debating on race inequality within our justice system like its non existent theyre just trying to aggravate us
sadness,were in contained depression only new economic engine is sustainability say joel     vergecon newgrandstrategy
sadness, gt huff louder
joy, lol i thought maybe couldnt decide if there was levity or not
anger,theres a certain hilarity in people angry at protests against the national anthem or the flag when these acts are covered by st amendment
anger,i dont want the pity of my instructors but id like some understanding im truly trying despite all circumstances that make me discouraged
joy,communitysleepcoach look at these narcoleptic puppies make you smile if you are human amp find yourself in such odd positions seek th
anger,   vs atlanta this yr    vs rockies and dbacks this yr thats a combined    vs  atrocious teams in nl awful
optimism,  experience all plays a role in that its education and preparedness not fear
anger, appointment booked between  today waited in all day and nobody showed up also requested a call back and never got one awful
sadness,summer officially ends today sadness
anger, seriously dude buy some bubble tape for your phones snap broke another phone
anger, holy shitwhat the hell happened to your lips fix that shit mtv teenmom horrible
sadness,final vestiges of my s childhood were just dashed on the shoals of hearing a house cover of tracy chapmans fast car at the dayjob
anger,maybe the entire russian team will test positive for meldonium and the north americans will get to replace them
anger,hey folks sorry if anything offensive got posted on here yesterday my account got hacked all fixed now though i hope  angry annoyed
anger,in my dreamthey were trying to steal my kidney  blackmarket whydidiwatchthat
sadness,i was not made for this world empath unhappy
sadness,im nervous about this test rip
joy,ryan gosling and eva mendes finally   b joyful an funnydont bossdont arguedo everything with kidsgo on mini car trips focus on love
sadness,i was so embarrassed when she saw us i was like knvfkkjg she thinks were stalkers n then she starts waving all cheerfully inviting us in 
sadness,wow one of my dads top favorite throwback rappers just died in a fiery car crash today in atlanta so sad so sad 
joy,i cant wait for you to listen to my new single mystery and my new album newmusic newsingle newalbum  popmusic dark
optimism,anybody know a good place to book a show in montreal on short but not supershort notice punkrock postpunk blues
optimism,dont be afraid of the space between your dreams and reality if you can dream it you can make it so
sadness,finally leaving my first job soon ive been working here since i was  going to be kind of bitter sweet
anger,  dont get me started on town centre used to go every week not been for  months horrible
sadness,will brawndo cure my depression  idiocracytoday
optimism,why is it that we rejoice at a birth and grieve at a funeral it is because we are not the person involved  mark twain
anger,i dislike people who get offended by the littlest shit 
joy, you look adorable awe
anger,new play through tonight pretty much a blind run only played the game once and maybe got  levels it rage horror
anger, ur road rage gives me anxiety
joy, brings back great memories of hilarity on saturdaynightlive
sadness,  my god is  a full shilling seriously you need a major rethink or no lab gove in your lifetime sad
anger,significantly with a bitter smile let me
anger, just trying to go home tonight a run on nd and  and a run on rd and  thats what champs dosike losers terrible
joy, he didnt have many chances to show what he can do but looked lively and had a good shot tipped over the bar before the end
optimism,need advice on how to get out of this rut  needmotivation
sadness,in health we did a think about depression and now i feel like i have it
joy, itll be easy to spot the parade of tiny weans in expensive jammies really is hilarious
sadness,muscled man with huge heart is messing with my brain and heart lost confused
anger,   trump says the refugee situation is not just about terrorism its about quality of life take note
sadness, im wearing all black tomorrow to mourn 
anger, hes right when the civil war starts it will be wall to wall terrorism and i dont fancy the muzzys chances
joy, laughs louder this time shaking my head that was really cheesy wasnt it
sadness,when my yo is gone i blast gothcore music she has anxiety amp i cant listen  it around her bcuz its too spooky sigh momlife
joy, glee
optimism,gloriosa bazigaga on rwanda work i lost relatives in genocide but  yrs of peacebuilding has given me optimism its within our power
sadness, mhchat childhood experiences inform adult relationships we have associative memories not a question of ability to process
sadness,texans and astros both shut out tonight houston were back to normal texans astros sadness losers
anger, nick fury
sadness,and im up from a dream where i said something really retarded on twitter and it got like  retweets nightmare
sadness,  dont get me started on town centre used to go every week not been for  months
anger, both scrap ll the rage instead
optimism,just told me wife there was a chance it would be  sydney teams in afl grand final her response theres two sydney afl teams serious
sadness, wow im just really sadden by that terrible
anger,i meet new people and i had to grow up with the reality that people can be desgusting and fake and so i lost my cheerfulness and started to
sadness,urgent need to get a new job the constant gloom of my current one is getting a bit ridiculous now
joy,these girls who are playful and childlike seem to have such lovely relationships cant imagine them having serious convos but its cute  
joy,im absolutely in love with laurie hernandez shes so adorable and is always so cheerful
joy,why is it so windy so glad i didnt ride my bike fear wind
optimism,the point of living and being an optimist is to be foolish enough to believe the best is yet to come  peter ustinov optimism quote
anger,  quite the response of retaliation from weiner in getting revenge on huma amp hillary clam diggingnallscumbags
anger,  theyre both pretty awful when you look at them historically
anger,broken policy blasio ltgt trump giuliani broken windows all part of pecking order bully politics america resist motto
joy,mate the thing i get excited about in my profession are mad a client said she opened her bowels im rejoicing
sadness, dont you know how nervous i was to see you
anger, worst than going to the morgue to do a positive id horrible reuters
anger, that is one thing but attacking and hating is worse  that makes us just like the angry vengeful behavior we detest
sadness, wow  your right they do need helpso what im getting from the laureliver fandom and bitter comic fandom and
sadness,im such a shy girl
sadness,mmmm im kinda sad i hope i can shake this before school
joy,every day i think my house  is burning  but its always just my neighbor burning their toast 
anger,in  fact  sometimes i dont get furious at people who wrong me but   i get  furious at  myself  for being  a  fool
anger, nothappy and still charging the fullprice  fuming some your bestrides 
anger,everyone is raging
anger,sometimes i get mad over something so minuscule i try to ruin somebodies life not like lose your job like get you into federal prison anger
joy,  the refs are in gts favor tonight
sadness,nls top bureaucrat is a director of a group formed to oppose nls top megaproject nlpoli  never dull
joy,watch this amazing lively broadcast by   musically
sadness,no one wants to win the wild card because you have to play the cubs on the road  sadness
anger,  amal clooney should try to prosecute  bush blair for war crimes that turned our world upside downampcreated terrorism
anger, stop the presses  saidproposed something racist shocking
anger, nisnt obrien supposed to be some sort of offensive genius
joy,good morning chirpy springequinox and your pensive sister autumnequinox a perfect day however it is expressed  thebeautyofbalance
sadness, do we think the swallows and swifts have gone photod  nights ago not seen since sad autumn
optimism,i told my chiropractor im here for a good time not a long time when he questioned my habits and yet again i have unnerved a doctor
joy,lady gaga fucking followed i have been waiting for this day for ages it fucking happened im shaking thank you so much  
anger, you came in at silly oclock and woke me up thats what happened wasted fuming
joy,  the gleesome threesome
anger, i think you should do get the fashion police involved shocking
sadness,wishing i was rich so i didnt have to get up this morning poor sleepy  sad needsmoresleep
anger, relentless echo chamber  negative comments with lots of reverb typical bully behavior
joy, thank you for follow and its a good website you have and cheering with no hassle
joy, people have so much negativity filled inside them but im always happy that in such a gloomy world someone like u exists namjoon
joy,when something makes you excited terrified thrilled nervous elated amp like youve been kicked in the guts all at once need word for that
joy, thats not easy to blow up the lt on a run play he created the seam for sua to burst through
joy,  but i decided to be a bit lackadaisical about getting dressed to get groceries
optimism, optimism is hell lose thats actually a compromise p
joy, nits alright she said cheerfully trying to make the moment fun
anger, they might get donal g sure they wont have him in cork as hes to fiery for dopey frank amp his cult
anger,ppl like that irritate my soul
optimism, at least his character in fast and furious pumped some adrenaline into the franchise but thats about it
joy,now that  has snapchat back its a constant battle to see who can get the ugliest snap of one another  snap survival
anger, hes just too raging to type properly ha ha
anger,pakistan continues to treat terror as a matter of state policy says  uriattack
optimism,i have so much hair its a nightmare but its also very soft so it guess its a winlose situation
joy,  whatever sam is holding on your tee looks like its got a droop on 
sadness,one step forward two steps backward the link to rogerfederershop doesnt work i am losing hope about roger federer new website sadness
joy,the pats are awesome belichick is awesome they just are
anger,dont join  they put the phone down on you talk over you and are rude taking money out of my acc willynilly
sadness,    take k out of it the numbers on madden are low and have dropped and people are unhappy
anger, no  by yall i mean rioting fire starting business burning looting assholes  that create blacklivesmatter
joy,hms pinafore timenni need some mirth
sadness,grim and despair feelingi look at self and my family hubby fought  years for this country ive worked  years for this govtgt
sadness,coincidence when you turn on the tv etcamp listen amp watch the objective is to captureyourmind with fear amp depression findgodnow
joy,turkish exhilaration for a  shade off irruptive russian visitors this twelvemonth gobbler is nephalism so
sadness,when will the weeks full of mondays end disheartened
anger, im not on about history or  other people im on about you ive bullied no one i make three posts and you attack bully
sadness, way to go london nice job electing a muslim jihadist for mayor good luck with your future terror attacks sadiqkhan
joy,pull over tonight and make your car shake 
sadness,feeling gloomy
joy,b day next week catch the sauce and watch the heaviness
optimism,carry on my wayward son therell be peace when you are done lay your weary head to rest dont you cry no more supernatural
anger,  cyber bully
joy, i found the first few episodes of bojack incredibly funny then it got less funny but i stayed for the drama
joy, page script due friday for class who said i could do this mfa thing  gradschoolproblems someonetelltinafeytohireme
joy,riggs dumb ass hell lolol hilarious lethalweapon
anger, bully
anger,india should now react to the uri attack revenge
joy,well stock finished amp listed living room moved around new editing done amp fitted in a visit to the inlaws productivityatitsfinest happy
anger, where is the outrage when black children get killed in the crossfire between blacks shooting each other
anger, a rabid dog being ridden by the child who has eaten all the flesh off one fellow and the limbs of the other adults
anger, watched the cobblers loads this season how is gorre a pro footballler terrible
anger,putin feels it acceptable to bomb amp kill aid workers soon he may be sitting at the same table as trump armageddon usapleasedont
anger,why do people gotta start so much drama  shoot me 
anger,did we miss the fact that burkeramsey swung amphit his sister jonbenet in the face with a golf club previously out of a fit of 
sadness,nooooo poor blue bell not again sad
optimism,  muslims have been in usa for ages to think that muslims commit terrorism due to islam you gotta be out of your mind
anger, i am angry at the student for being a racist and the teacher for not stopping it and at the class for letting it go by
optimism,if you think youre good to go already dont worry about it
anger,wine drunk is the worst version of myself ffs dont even remember seeing basshunter
joy,the bounty hunter things a bit lively
sadness,that feeling you get when you know the information but scared you might do bad on a test collegelife nervous 
joy, supine on the pianolips parted sixwordstory amwriting blues singer
sadness, thanks ryan amp brad for scary the shit out of us in the first episode dont think my heart will make it through the s
optimism,always borrow money from a pessimist he doesnt expect to be paid back
joy, pax enjoyed the gloom  
sadness,condolences to the  jc and the georges family
anger, snap seems to be a problem here
sadness, nlikewise death cutting despair
anger,they gonna give this kkk police bitch the minimum sentencejust wattch
sadness,i feel like an appendix i dont have a purpose  depressed  alone lonely broken  cry hurt crying life
anger,travelfail virgin virginaus and etihad nightmare  and now were also delayed obvs 
anger,tulsa  police manufacture murder wonder why we carry burners  maxlevelz
optimism,dehydrated exhausted stressed but still blessed optimism
anger,us you need to band together not apart nevertrump he promotes hatred and fuels
anger, its fucking dreadful for live footy matches
optimism,  nbecause distrust in life  argentina has a lot of heart and this president is worth every vote
joy,shes foaming at the lips the one between her hips  one of many great lyrics
sadness, i guess it must be really expensive for me its that the whole family stayed in poland so i really miss them
anger,     i understand your concerns but look at her foundation contributions
anger,someone let snakes in my house i bet it  i kill that bugger when i get my hands on him  huckfp
anger,fake people irritate me
anger, fmf protesters arent interested in reasoned debate just intimidation violence amp disruption to get demands met
optimism,lunatic asylum the place where optimism most flourishes
joy,damn gud premiere lethalweaponfunny and serious
anger,  all the bully
sadness,it appears my fire alarm disapproves of my cooking style
anger,were going to get city in the next round for a revenge
anger,trump is afraid of the big bad hillary election presidentialdebate presidentialelection orangehitler skip hide coward fear
joy, i am sitting here wrapped in a fluffy blanket with incense burning listening to bon iver and drinking mulled wine im there
anger,petition for nonmaghrebi poc to stop buying couscous from white grocery stores and boiling it that is not couscous that is trash
joy, thank you happy birthday to you as well
joy,watch this amazing lively broadcast by   musically
joy, well have a ceremony next time we meet itll involve burning something then possibly booze andor caffeine
anger,dear  please tell your bus drivers if obstruction on their side dont just pull out to oncoming traffic causing vehs to swerve fuming 
sadness,alternate reality where  has a comments section and you can give poems a cheery thumbs up or a disappointed thumbs down
anger, may i suggest that you have a meal that is made with beans onions amp garlic the day before class revenge
anger,i highly suggest if you are looking online for a company to help you send youre package overseasdo not ever ever use 
sadness,she began to squirm beneath  struggling to get out of his relentless grasp when she realized that the attempt was useless
joy,as i remember and reflect on reginald denny on a night much like this like charlotte i think to myself the gun lobby must be rejoicing
anger,  i was so looking forward to  then it opened with a stuartspecial i literally yelled at my tv umbrage
joy,something about opening mail is justvery pleasing
sadness,when you have  doe run the opposite side of you  depression
anger, you and that awful music can take a walk right off a cliff k 
joy,day  and i am elated because im taking pto tomorrow so im doneeeee but
optimism,a pessimist sees the difficulty in every opportunity an optimist sees the opportunity in every difficulty sir winston churchill
joy, dont think ian knew of pavel he knew about charlie i bet rob will cackle with glee when he heard what has happened thearchers
joy, maybe he had constipation issues not that i know dates relieve such an affliction no way jose
anger, smh remove ideologically bankrupt and opportunistic establishment now theyre burning all bridges and social contracts anger
sadness, lost my xt nova around hole  or  sadness
anger,at unga pakistan clearly shows the face of cowardliness and blatant lies its time for india to act upon terror
joy,aqw shouldve always stayed in the  art style now its just a competition to create more detailed art each time
anger, mine is that the party did decide but the party has been slowly transformed into a vengeful hellcult of white male resentment
joy,   kirbys black panther in a cool animated panel
optimism,you cant fight the elephants until you have wrestled the pigs quoteoftheday
anger, flat party and i instantly get bollocked about it fuming
sadness, betelgeusesloth was lively dedicated and tenacious regulusgreed is humbly content and leygluttony is starving hungry
joy, ldf what shall we do this weekend  spraypainting in greenwichmarket with  core lilylou fret amp benoakley
sadness, awe man when are you free then 
joy, wanna shake my tree 
sadness, he isnsure his mind was clouded but
anger, now you gotta do that with fast n furious
anger,ffs  when things come back to haunt you cringe bad cringe   what a terrible gun that is
anger,never let me see you frown
anger,a country that gave safe house to osama bin laden is dangerous if not contained pakistan is a terror heaven declare so 
anger,gadot please put a left turn signal at williams and ivan allen jr blvd this is absolutely ridiculous atltraffic
anger,once again the only thing on my feed is naay raging about something and my brother filling in all the gaps
sadness,haikuchallenge haikunnthe crisp autumn airnmy freedom purchased through deathnno one will mourn me
sadness,i honestly feel nothing towards either of my parents and its pretty depressing
sadness,if i could turn anxiety offi would nooneunderstands
anger, maybe dont provoke him in the future if you do not want to run the risk of him punching your board
anger,karev better not be out or i am seriously done done with   angry unfair ugh
optimism,but for me not to worry theyll get a glass guy over and bill us for it
joy, now im really excited for november hope theyre not all horrid chavs though 
joy, having a terrific game and not at all fazed mcfc
anger,   i threaten you because i can pussy
anger, fucked my coupon that goal
joy,reflection the grind has been so real working  jobs amp being in school ksudsm ksu recruiter instructor tumble cheer gradschool
anger,aberdeen st johnstone lets see who can punt it the furthest awful
optimism, a stumbling block to the pessimist is a stepping stone to the optimist
optimism,listening to joey really helps me and my anger
sadness, the thing is its either i be unproductive and unhappy or deal with some videos that do badly
joy,another joyful encounter in tribez amp castlez i just met bartolomeo do you want to know who that is download the game and find out
anger,   yes exactly amp hes sold out this country to terror while lying to cover it up
sadness,woke by nightmare  am couldnt sleep any more so took a useallthehotwatershower now i have time to read
anger,got a  tip from a drunk uber passenger today i get a  parking ticket id blame karma but my dumb ass forgot to pay the meter
joy,the pats are awesome belichick is awesome they just are awestruck
joy,david gilmours biggest compliment bb king asked him after a gig if he was born in mississippi pinkfloyd theblues davidgilmour blues
anger,i seriously hope these chances celtic are missing are going to come back to haunt them with an alloa sucker punch
anger,i hate little girls  got a lot off growing up to do fuming
anger,after she threw me out i had to sedate her with a damn horse tranquilizer
optimism, i was like that when i started college it was horrific but it probably will get better dont give up yet
anger,  hey stupid that was bad intel to take bin laden out try again with your faux outrage i bet u admire putin right
anger, biggest fears incurable stds and pregnancyi mean theyre basically the same thing anyway forlife annoying  weirdsmells
sadness,howl at the moon with  at  next wednesday the th for a free double feature of silver bullet and cursed horror
sadness,two blankets a hoody and still no eternal sunshine to mope to
anger,india wants to shake hands with  pakistan  but as usual pakistan cheat with every indian nnshameless pakistan
anger, the depth that youve sunk to youre readership deserves more
anger, that was exhilarating hockey theyre still out if russia wins in regulation im reading fuck
anger,i wish you stayed in da gump ill make you panic like the last rapper
anger,projection is perception see it in someone else you also at some level have that within you anger
optimism, actually maybe we were supposed to die and my donation saved our lives optimism
anger,if you follow trump a certified bully there is no question you or your children may go to war vs consumate diplomat 
sadness, the tunnels i shudder to think of the grimy tweets
joy, disneys  animated musical film thelionking was influenced by williamshakespeares hamlet songs by eltonjohn
sadness,lt that moment you finish a netflix series and have nothing else to watch depression
anger,im tired of people telling me the worry about me when in fact they probably never gave a fuck about me
anger,  aa have the right of passage when it comes to the n word  why should he insult him in his church  ignorant
sadness, sadly war has often been the factor that jump starts us economic growth
anger,when someone rudely says all women should have long hair and your inner feminist tries not to rage
sadness,the animals the animalsntrap trap trap till the cage is fullnthe cage is full stay awakenin the dark count mistakes
optimism,he who is slow to anger is better than the mighty and he who rules his spirit than he who takes a citynp bibleverse pride
joy, million in box office doesnt do this movie justice political or not snowdenmovie is a terrific thriller and love story 
anger,why upping rooms makes a few apprehend leaving out charcoal ownership unzu
anger,   yeah i received a fine today which i am furious about currently appealing it after being a member for so long
optimism,that grudge youre holding keeps making an appearance because god wants you to deal with it
joy, shock horror handicap dodger is at the top  close on the agg cup good  but think pressure will get to mark
joy,im girly in the sense that i always have lashes amp nails done but tomboy in the sense that black is my only color amp refuse the ruffle life
anger,from harboring osama bin laden to its relationship with haqqani network there is enough evidence to prove pakistan is sponsoring terrorism
joy,its not that the man did not know how to juggle he just didnt have the balls to do itnfunny pun punny lol hilarious
joy, droop saw naked wrestling and asked what if i get a hole in one jaymohrsports
joy, you got this staystrong smile yourebeautiful
anger,nothing else could possibly put a damper on my day other than doing xrays on someone with kickinnnnn ass breath 
anger, the concept that a gay magazine feels like it has to cover terrible people because theyre gay voices seems all upside down
sadness, but this is no easy ride for a child cries noh find mefind me nothing more nwe are on a sullen misty moor
sadness, very thought provoking amp leads one to question what really happenedvery sad for all
sadness,migraine hangover all day stood up to do dishes and now im exhausted again gad depression amp chronic pain anxiety depression pain
anger,i had an hour of football practice under the boiling sun and now i have hr volleyball practice under the boiling sun again
optimism,thats how you start a season thats how you open the show show them how dark hell can get empire
anger,might just leave and aggravate bae
sadness,the joyful tambourines have ceased the noise of the jubilant has stopped the joyful lyre has ceased isaiah 
sadness,my boyfriend once forcibly stopped all of my anxiety coping methods at once holding me forcing my hands down that kinda stuff and i 
anger, ended up paying p for half a tube of smarties dont even get the pleasure of popping the plastic lid off either
anger,but this is the internet age so get mad out of any and all proportion and assume the terrible worst with little to no facts or knowledge
sadness,     awe i feel so bad being naive ou is the worst
sadness,rooney  whipping boy mufc sad
joy, start buying death wish coffee and shake hands with espresso every now and then
joy, cheer up
optimism, im sure youll have a heyday if they do
anger,      to give me my keys back they arent for my house shocking
anger,obamalegacy  weekly riots and terror attacks gtk dead syrians jews fleeing persecution in europe christian genocide in me
sadness,drop snapchat names bored snap swap pics
sadness,  lestweforget  yrs on  graduate trainee recruitment not concluded disappointed weary however  wewait
joy,happy birthday   cheerchick jeep jeepgirl idriveajeep jeepjeep cheer
sadness, omg im so slow bc my eng is not very well and my hands are shaking uhh help meee im like this lil chicken now moreisbetter
anger, is the android app it designed to be buggy and work sporadically on a fire tv box
anger,    dont provoke the voke
sadness, badi am fearing for my life
sadness, some dont see the difference between courting and appealing to a women vs deception amp pressure its depressing
anger, customer services got involved and eventually completely wash their hands of it awful dreamornightmare
anger,look at this massiah of youngleadernpakistan massiah of terrorism
anger,this pretentious dick in night gallery just fucking used a towel to dry off his sink
anger,another day another flight   i swear my last ever  flight you take the love out of flying easyjet horrific alwaysdelayed
sadness, were sorry to hear about the issues and how this is making you feel we dont like to hear our customers being unhappy  we
optimism,we fear not the truth even if it be gloomy but its counterfeit berl katznelson
sadness,i miss my gran singing rawhide in her deep baritone growl
anger,egyptian officials expressed frustration and outrage over the obamahillary administrations support of the muslim brotherhood
sadness,two major banking stocks down almost  to   from their highs while benchmarks still close to top it is a sure worry for markets
joy,batman the animated series is a gift from the s animation gods
anger, but what i am doing is in my control avoidmmt  you guys are terrible
sadness,it didnt impress me but it didnt depress me
sadness,  i couldnt care less about gotham i havent watched it since the mid point of season  horrible
anger,   yes it is bad to point out racism lest it provoke the racists  some racists do indeed not like it
anger,just seeing alex revells face gets me angry
anger,    i dread to think dirtypeople
joy, if you get it going with him tag me the link please i have a lot of friends who love following his unintentional hilarity
joy,in addition to fiction wish me luck on my research paper this semester  pages oh boy daunting
anger,  i cant read this article but headline indicates a horror story lock sick chavs up and throw away the key
sadness,  i live a life devoid of mirth come to think of it there arent enough taco bowls in my life either
anger,trying to book holiday flights on  website is becoming a nightmare
anger, john kerry fckd uchief justiceofpak made the statement publicly about party supporting terror what else u needterrorstatepak
sadness, jeezus god dark
sadness,ive realized my anxiety is at an all time high when im in my office i feel prisoned here and i pick up on bad energy
sadness,r u scared to present in front of the class severe anxiety whats that r u sad sometimes go get ur depression checked out imediately
optimism, today which can impact the signal im afraid  our engineers are working to have this resolved by this evening and youll
joy,oh dear an evening of absolute hilarity i dont think i have laughed so much in a long time 
anger,wtf are united doing shocking defending
optimism,amateurs sit and wait for inspiration the rest of us just get up and go to work  stephen king authors serious writingtip
sadness,jesus wept another rns from rusty  quote price sensitive news price sensitive news etc etc the ramping here is
joy,is there a perfume that smells like the smell of smokey incense because i would be all about that
sadness, i personally liked relentless didnt get ourhouse onejersey werealldevilsinside ndoes nothing till a puck drops njdevils
anger,scorpio always seek revenge
sadness,  lmao awe  sad
anger,appropriate that first secretary at permanent mission is tasked with demolition of terror state pakistan  like renunciation of lies bit
anger, meden is frowning at you with her non existent face
joy, i you on dwts you make my night every show 
joy,still shaking though 
sadness,when you arrive at the office the day before your first ever festival and the internet is down panic
sadness,so drunk me hid my keys very well sober me couldnt find it anywhere
anger,theyll be yo friend shake your hand then kick in yo door thas the way the game go
sadness,so depressing that its darker so much earlier now
optimism,i just got asked to hoco over instagram dm bc someone lost a bet love the maturity of the people in my grade
sadness, they say you attract what you see maybe i shouldnt be a pessimist but i dont wanna take any chances lol cant wait to relocate
joy, seriously digging those eyebrows animated
joy,taurus females are beautiful sparkling jewels glowing in the moonlight
anger, its very telling that racist bigots always resort to the insult fag like thats worse than being a racist bigot
joy,watch this amazing lively broadcast by   musically
anger, no the gay guy and the dad revenge fucking
anger, why should i listen to someone with a tie like that awful
